Antecedent,Consequent,Support,Confidence,Lift
Bag of Organic Bananas,Organic Baby Spinach,0.015487589788657182,0.1313858220835868,1.7549562166867292
Bag of Organic Bananas,Organic Hass Avocado,0.019341560018796878,0.16408019570028862,2.4709407556337744
Bag of Organic Bananas,Organic Raspberries,0.012483445931513454,0.10590077788276103,2.5036190681771138
Bag of Organic Bananas,Organic Strawberries,0.019184410797219525,0.16274705219968674,1.9699522591625964
Banana,Cucumber Kirby,0.010117053284266158,0.06867232808616404,2.2694381411212787
Banana,Large Lemon,0.012646698035482158,0.08584299917149958,1.8105842400958205
Banana,Organic Avocado,0.016360301970620723,0.11105012427506213,2.037835228416592
Banana,Organic Fuji Apple,0.010455763256986274,0.07097141673570836,2.5520740510370254
Banana,Strawberries,0.012845041713201145,0.08718931234465617,1.9666293830075472
Organic Baby Spinach,Organic Hass Avocado,0.01071971292041231,0.1431861256597852,2.1562896851995883
Organic Baby Spinach,Organic Strawberries,0.011764831529931586,0.15714605963031647,1.902155713440553
Organic Hass Avocado,Organic Strawberries,0.0127000982564065,0.1912551984008455,2.3150257105981638
Organic Raspberries,Organic Strawberries,0.010504586316117103,0.24834078776511329,3.0060114102702347
